text,label
"TV ka design normal hai, zyada khas nahi lagta.",1
Picture quality acchi hai lekin kuch exceptional nahi hai.,1
"Sound quality thik hai, na zyada loud hai na bohot low.",1
"TV ka interface theek hai, kuch naya feel nahi hota.",1
"Smart TV features kaafi basic hain, kuch khaas nahi hai.",1
"TV ka performance thik hai, kuch major issues nahi hain.",1
"Installation process kaafi simple thi, koi major problem nahi aayi.",1
"Picture brightness acchi hai, but overexposure ka issue kabhi kabhi hota hai.",1
"TV ki size average hai, na bohot chhoti hai na bohot badi.",1
"Remote control ka design normal hai, buttons thik se kaam karte hain.",1
"TV ka overall performance theek hai, koi major complaints nahi hain.",1
"Connectivity options thik hain, but limited HDMI ports hain.",1
"Display ka quality thik hai, brightness and contrast acchi hai.",1
"Sound clarity thik hai, bass thoda kam hai lekin manageable hai.",1
"TV ka app store kaafi simple hai, zyada apps nahi hain.",1
"Viewing angle theek hai, bas front se clear dikhayi deta hai.",1
"TV ka response time average hai, zyada fast nahi hai lekin acceptable hai.",1
"Screen size acchi hai, lekin larger screens ke liye thoda space chahiye hota hai.",1
"TV ka refresh rate average hai, gaming ke liye zyada best nahi hai.",1
"TV ka interface clean hai, lekin kuch features thode complex lagte hain.",1
"Picture quality acchi hai, lekin night mode mein thoda clarity ka issue hota hai.",1
"TV mein remote ka response theek hai, kabhi kabhi lag hota hai.",1
"TV ka overall build quality achha hai, premium feel nahi hota.",1
"Screen clarity thik hai, lekin sometimes brightness adjustment zaroori hota hai.",1
"Sound volume kaafi thik hai, lekin bass zyada deep nahi hai.",1
"App navigation kaafi simple hai, but kuch apps thoda slow load karte hain.",1
"TV ka design functional hai, but kuch modern look nahi milta.",1
"Installation kaafi simple thi, technician time par aaya tha.",1
"Connectivity options kaafi limited hain, but kaafi basic zaruraton ko cover karte hain.",1
"Picture settings thik hain, but customization kaafi limited hai.",1
"TV ka color display thik hai, but thoda more saturation hona chahiye.",1
"Remote kaafi convenient hai, lekin buttons kaafi small hain.",1
"TV ka software thik hai, updates kabhi kabhi late aate hain.",1
"Display brightness kaafi decent hai, lekin day time mein thoda low ho sakta hai.",1
"TV ka motion handling thik hai, but fast scenes mein thoda lag dekha jata hai.",1
"TV ka user interface theek hai, lekin kabhi kabhi lag feel hota hai.",1
"Sound output kaafi clear hai, lekin surround sound ka effect utna accha nahi hai.",1
"Picture quality overall acchi hai, but dark scenes thoda unclear lagte hain.",1
"TV mein apps kaafi slow load karte hain, but fir bhi work karte hain.",1
"Viewing experience acchi hai, but brightness thoda kam ho sakta hai.",1
"Screen size kaafi achha hai, but kisi chhote room ke liye thoda bada ho sakta hai.",1
"Remote kaafi functional hai, lekin thoda bulky lagta hai.",1
"TV ka performance average hai, lekin lag issues kabhi kabhi hote hain.",1
"Picture sharpness thik hai, lekin highly detailed scenes mein clarity kam hoti hai.",1
"Sound clarity normal hai, lekin volume increase karne par distortion hota hai.",1
"TV ka overall user experience thik hai, but improvements ki zarurat hai.",1
"App performance average hai, kuch apps thoda slow load hote hain.",1
"TV ka installation kaafi easy thi, koi extra steps nahi the.",1
"Display ka quality thik hai, lekin outdoor lighting mein thoda issue hota hai.",1
"Sound system kaafi simple hai, but average sound experience milta hai.",1
"TV ka screen size average hai, kisi bhi room ke liye accha hai.",1
"TV ka connectivity thik hai, but Wi-Fi ka signal thoda weak hota hai.",1
"Picture contrast kaafi decent hai, lekin kabhi kabhi brightness thoda low lagta hai.",1
"TV mein updates time par aate hain, lekin performance thoda slow lagta hai.",1
"Remote ka design theek hai, lekin buttons kaafi small hain.",1
"TV mein sound clarity thik hai, lekin volume increase karte waqt clarity thoda loss hota hai.",1
"TV ka build quality thik hai, but design zyada attractive nahi hai.",1
"Picture quality thik hai, but sometimes screen overexposed lagti hai.",1
"TV mein apps ka performance thik hai, but kabhi kabhi apps crash karte hain.",1
"Sound output kaafi average hai, but overall experience okay hai.",1
"Picture clarity thik hai, but sunlight mein kabhi kabhi issue hota hai.",1
"TV ka motion handling thik hai, lekin fast action scenes mein blur hota hai.",1
"Screen size thik hai, but kisi chhote room ke liye bohot bada ho sakta hai.",1
"TV ka refresh rate thik hai, lekin gaming ke liye utna smooth nahi hai.",1
"TV mein built-in apps thik hain, but lag hota hai kabhi kabhi.",1
"TV ka interface simple hai, lekin kabhi kabhi slow response hota hai.",1
"Picture sharpness acchi hai, lekin outdoor light mein thoda problem hota hai.",1
"TV mein sound quality thik hai, but bass kaafi low hai.",1
"TV mein connectivity options thik hain, but Wi-Fi thoda slow hai.",1
"TV ka user experience thik hai, but kabhi kabhi lag ya freeze hota hai.",1
"Screen brightness thik hai, but bright light mein thoda low dikhayi deta hai.",1
"TV ka performance overall thik hai, lekin kuch improvements zaroori hain.",1
"TV ka design decent hai, but kuch modern touch kaafi missing hai.",1
"TV ka picture clarity thik hai, but details thoda blurry dikhayi deti hain.",1
"Sound clarity normal hai, but volume badhate waqt thoda distortion hota hai.",1
"TV mein streaming services thik se work karte hain, but kabhi kabhi buffering hota hai.",1
"Picture quality overall thik hai, but fast scenes mein blur hota hai.",1
"TV mein app store kaafi limited hai, but basic apps mil jaate hain.",1
"TV ka performance theek hai, lekin kabhi kabhi apps crash karte hain.",1
"Display ka quality accha hai, lekin brightness thoda low lagta hai.",1
"TV ka build quality acchi hai, but design zyada appealing nahi hai.",1
"TV mein picture sharpness thik hai, but details mein kabhi kabhi loss hota hai.",1
"Sound output kaafi average hai, lekin thik hai daily use ke liye.",1
"Picture clarity theek hai, but kabhi kabhi image mein sharpness ka issue hota hai.",1
"TV ka overall performance theek hai, but refresh rate thoda low lagta hai.",1
"TV ka connectivity options theek hain, but limited HDMI ports hain.",1
"Screen size thik hai, but kisi chhote room ke liye utna suitable nahi hai.",1
"Remote ka design thik hai, lekin kabhi kabhi response slow hota hai.",1
Yeh car bahut smooth aur comfortable hai!,2
"Mileage zabardast hai, pocket-friendly bhi hai.",2
"Looks mein top-notch, performance bhi best hai.",2
Long drives ke liye perfect car hai.,2
Engine powerful aur fuel-efficient hai.,2
Interior classy aur spacious hai.,2
Drive karte waqt luxury ka feel aata hai.,2
"Suspension itna smooth, gaddhe feel hi nahi hote.",2
Yeh car family ke liye perfect hai.,2
Road grip aur handling dono superb hain.,2
AC performance bahut acha hai.,2
Iska music system high quality hai.,2
Low maintenance aur high performance.,2
Safety features next level hain.,2
City driving ke liye ekdum best option.,2
Iska design futuristic lagta hai.,2
Resale value bhi achhi milti hai.,2
Raat mein iska headlight system kamaal ka hai.,2
Automatic variant driving ka mazza badha deta hai.,2
Pehli ride se hi iska feel premium hai.,2
Gear shifting smooth aur effortless hai.,2
"Iska ground clearance high hai, roads pe perfect hai.",2
Seats ka comfort unmatched hai.,2
Engine ki pickup ekdum zabardast hai.,2
Fuel consumption kaafi kam hai.,2
Road trips ke liye ek must-have car hai.,2
Build quality kaafi solid aur reliable hai.,2
Steering control bahut precise hai.,2
Bluetooth connectivity quick aur reliable hai.,2
Car ki speed aur balance ekdam perfect hai.,2
Eco mode fuel save karne mein madad karta hai.,2
Boot space kaafi large aur convenient hai.,2
Iske tyre ka grip bahut reliable hai.,2
On-road presence kaafi stylish hai.,2
Petrol aur diesel dono mein efficiency zabardast hai.,2
Top speed bahut smooth aur stable hai.,2
Noise cancellation andar kaafi acchi hai.,2
Drive karte waqt ekdum safe feel hota hai.,2
Smart features aur technology se loaded hai.,2
Daily commute ke liye bhi ekdam ideal car hai.,2
Iska AC fast cooling karta hai.,2
Ek compact aur feature-rich car hai.,2
Dashboard ka design kaafi modern hai.,2
Premium feel ke saath budget-friendly option hai.,2
Tyre quality bahut durable aur reliable hai.,2
Eco-friendly features bhi diye gaye hain.,2
Steering par controls kaafi convenient hain.,2
Luxury aur affordability ka perfect combo hai.,2
Engine sound kaafi refined hai.,2
In-city aur highway driving dono ke liye perfect.,2
Braking system ekdum responsive hai.,2
Drive karne mein mazza aa jata hai.,2
Seats foldable aur kaafi flexible hain.,2
Long term use ke liye reliable option hai.,2
Power steering bahut effortless lagta hai.,2
Smartphone integration seamless hai.,2
USB aur aux features easily accessible hain.,2
Hill driving ke liye kaafi safe aur powerful hai.,2
Family aur friends sab impressed ho gaye car se.,2
Color options kaafi attractive hain.,2
Horn ka sound bilkul balanced hai.,2
Battery backup aur charging speed kaafi achhi hai.,2
Automatic wipers aur sensors kaafi useful hain.,2
Sunroof ke saath ek luxury feel milti hai.,2
Pehle hi test drive mein purchase ka decision le liya.,2
Build aur design dono hi impressive hain.,2
Compact hai lekin andar se spacious feel hoti hai.,2
Seats ka lumbar support kaafi acha hai.,2
Reverse camera aur sensors kaafi accurate hain.,2
Bluetooth calling features ekdum hassle-free hain.,2
Highways pe iska mileage aur smoothness unbeatable hai.,2
Service aur maintenance kaafi affordable hai.,2
Eco mode driving ke liye perfect hai.,2
Headlight throw kaafi sharp aur clear hai.,2
Drive modes kaafi practical aur useful hain.,2
Customer service bhi bahut acha hai.,2
Sound system premium quality ka hai.,2
Potholes ka impact andar feel nahi hota.,2
Road trips ka experience unforgettable ban gaya.,2
Iska resale market kaafi strong hai.,2
Auto parking feature kaafi convenient hai.,2
Driver seat adjustment kaafi easy aur quick hai.,2
Wireless charging ka feature kaafi helpful hai.,2
High torque aur power delivery ekdam smooth hai.,2
Top model ekdum value-for-money hai.,2
Navigation aur maps integration accurate hai.,2
Peechhe baithne walon ke liye bhi kaafi leg space hai.,2
Headroom aur shoulder space bhi perfect hai.,2
Color finish kaafi premium aur durable lagti hai.,2
Luxury cars se compare karein toh yeh affordable hai.,2
Window controls aur locking system kaafi advanced hai.,2
Driving assist features kaafi advanced hain.,2
Tire pressure monitoring feature helpful hai.,2
In-built infotainment system kaafi smooth hai.,2
Remote start aur lock features convenient hain.,2
Android Auto aur Apple CarPlay seamless hai.,2
City traffic me bhi kaafi zyada efficient hai.,2
Affordable EMI options ke saath perfect purchase hai.,2
Car mein ek alag level ka swag feel hota hai.,2
"Comfort, power aur style ka perfect combination hai.",2
Washing machine ke kapde properly saaf nahi hote.,0
